,anio,infracciones,total,porcentaje
0,2018,otros,527,0.06
1,2018,otros,4153,0.51
2,2018,otros,2601,0.32
3,2018,otros,11393,1.4
4,2018,otros,12044,1.48
5,2018,violar la luz roja,61911,7.62
6,2018,otros,8258,1.02
7,2018,transitar sin casco,209670,25.79
8,2018,otros,7060,0.87
9,2018,otros,1202,0.15
10,2018,otros,3174,0.39
11,2018,otros,2576,0.32
12,2018,otros,15072,1.85
13,2018,conducir sin licencia y/o vencida,64565,7.94
14,2018,otros,47822,5.88
15,2018,otros,4732,0.58
16,2018,otros,7958,0.98
17,2018,transitar sin cinturon,72964,8.98
18,2018,otros,15930,1.96
19,2018,otros,15649,1.93
20,2018,otros,16096,1.98
21,2018,otros,3641,0.45
22,2018,otros,657,0.08
23,2018,hablar por celular,30882,3.8
24,2018,giro prohibido,24103,2.96
25,2018,estacionarse en lugares prohibidos,38677,4.76
26,2018,otros,14799,1.82
27,2018,obstruir el transito,29631,3.64
28,2018,via contraria,33762,4.15
29,2018,otros,1358,0.17
30,2018,otros,439,0.05
31,2018,otros,19366,2.38
32,2018,obstruir el transito,777,0.1
33,2018,otros,4894,0.6
34,2018,otros,361,0.04
35,2018,otros,351,0.04
36,2018,otros,639,0.08
37,2018,otros,2171,0.27
38,2018,otros,17184,2.11
39,2018,otros,2009,0.25
40,2018,conducir sin licencia y/o vencida,1872,0.23
41,2019,otros,321,0.03
42,2019,otros,61,0.01
43,2019,otros,660,0.07
44,2019,otros,71,0.01
45,2019,otros,901,0.09
46,2019,otros,6387,0.64
47,2019,otros,3402,0.34
48,2019,otros,4432,0.44
49,2019,otros,42,0.0
50,2019,otros,2583,0.26
51,2019,otros,623,0.06
52,2019,otros,20,0.0
53,2019,otros,61,0.01
54,2019,otros,1979,0.2
55,2019,otros,4759,0.47
56,2019,otros,11039,1.1
57,2019,violar la luz roja,72103,7.18
58,2019,otros,221,0.02
59,2019,otros,227,0.02
60,2019,otros,98,0.01
61,2019,otros,4303,0.43
62,2019,otros,913,0.09
63,2019,otros,2242,0.22
64,2019,otros,15366,1.53
65,2019,otros,245,0.02
66,2019,otros,447,0.04
67,2019,obstruir el transito,27981,2.79
68,2019,otros,353,0.04
69,2019,otros,30,0.0
70,2019,otros,49,0.0
71,2019,otros,33,0.0
72,2019,otros,662,0.07
73,2019,otros,15815,1.58
74,2019,otros,36425,3.63
75,2019,otros,6639,0.66
76,2019,otros,10775,1.07
77,2019,otros,190,0.02
78,2019,otros,19049,1.9
79,2019,otros,217,0.02
80,2019,otros,19218,1.91
81,2019,otros,128,0.01
82,2019,otros,733,0.07
83,2019,otros,1921,0.19
84,2019,otros,2218,0.22
85,2019,otros,183,0.02
86,2019,otros,6145,0.61
87,2019,otros,250,0.02
88,2019,otros,132,0.01
89,2019,otros,594,0.06
90,2019,otros,2338,0.23
91,2019,otros,52,0.01
92,2019,otros,292,0.03
93,2019,otros,42,0.0
94,2019,otros,1818,0.18
95,2019,otros,279,0.03
96,2019,otros,273,0.03
97,2019,otros,309,0.03
98,2019,otros,828,0.08
99,2019,conducir sin licencia y/o vencida,87558,8.72
100,2019,otros,88028,8.77
101,2019,otros,5677,0.57
102,2019,otros,7986,0.8
103,2019,hablar por celular,31518,3.14
104,2019,otros,2477,0.25
105,2019,otros,24,0.0
106,2019,otros,52,0.01
107,2019,otros,45,0.0
108,2019,otros,20,0.0
109,2019,otros,213,0.02
110,2019,otros,282,0.03
111,2019,transitar sin cinturon,57569,5.73
112,2019,otros,286,0.03
113,2019,otros,17718,1.77
114,2019,otros,16212,1.61
115,2019,otros,660,0.07
116,2019,giro prohibido,28875,2.88
117,2019,otros,519,0.05
118,2019,estacionarse en lugares prohibidos,40940,4.08
119,2019,otros,584,0.06
120,2019,otros,85,0.01
121,2019,otros,15,0.0
122,2019,otros,103,0.01
123,2019,otros,2625,0.26
124,2019,otros,7608,0.76
125,2019,otros,89,0.01
126,2019,otros,83,0.01
127,2019,otros,399,0.04
128,2019,transitar sin casco,248639,24.77
129,2019,otros,2220,0.22
130,2019,via contraria,30046,2.99
131,2019,otros,4396,0.44
132,2019,otros,109,0.01
133,2019,otros,80,0.01
134,2019,otros,777,0.08
135,2019,otros,206,0.02
136,2019,otros,28346,2.82
137,2019,otros,32,0.0
138,2019,otros,285,0.03
139,2019,otros,50,0.0
140,2019,otros,860,0.09
141,2019,otros,79,0.01
142,2020,otros,123,0.02
143,2020,otros,65,0.01
144,2020,otros,486,0.08
145,2020,otros,30,0.0
146,2020,otros,323,0.05
147,2020,otros,3782,0.62
148,2020,otros,1606,0.26
149,2020,otros,2219,0.36
150,2020,otros,52,0.01
151,2020,otros,541,0.09
152,2020,otros,244,0.04
153,2020,otros,0,0.0
154,2020,otros,37,0.01
155,2020,otros,2319,0.38
156,2020,otros,5513,0.9
157,2020,violar la luz roja,60072,9.77
158,2020,otros,332,0.05
159,2020,otros,46,0.01
160,2020,otros,1676,0.27
161,2020,otros,2779,0.45
162,2020,otros,376,0.06
163,2020,otros,6103,0.99
164,2020,otros,171,0.03
165,2020,otros,112,0.02
166,2020,otros,2031,0.33
167,2020,otros,116,0.02
168,2020,otros,243,0.04
169,2020,obstruir el transito,19278,3.14
170,2020,otros,160,0.03
171,2020,otros,12,0.0
172,2020,otros,615,0.1
173,2020,otros,99,0.02
174,2020,otros,22532,3.66
175,2020,otros,642,0.1
176,2020,otros,261,0.04
177,2020,otros,10736,1.75
178,2020,otros,244,0.04
179,2020,otros,6880,1.12
180,2020,otros,50,0.01
181,2020,otros,454,0.07
182,2020,otros,93,0.02
183,2020,otros,40,0.01
184,2020,otros,4315,0.7
185,2020,otros,96,0.02
186,2020,otros,58,0.01
187,2020,otros,600,0.1
188,2020,otros,31,0.01
189,2020,otros,69,0.01
190,2020,otros,21,0.0
191,2020,otros,1693,0.28
192,2020,otros,64,0.01
193,2020,otros,265,0.04
194,2020,otros,229,0.04
195,2020,otros,134,0.02
196,2020,conducir sin licencia y/o vencida,35822,5.83
197,2020,otros,45901,7.47
198,2020,otros,419,0.07
199,2020,otros,3898,0.63
200,2020,hablar por celular,16156,2.63
201,2020,otros,808,0.13
202,2020,otros,19,0.0
203,2020,otros,114,0.02
204,2020,otros,60,0.01
205,2020,otros,9,0.0
206,2020,otros,96,0.02
207,2020,otros,147,0.02
208,2020,transitar sin cinturon,31555,5.13
209,2020,otros,178,0.03
210,2020,otros,7440,1.21
211,2020,otros,6832,1.11
212,2020,otros,257,0.04
213,2020,giro prohibido,14730,2.4
214,2020,otros,124,0.02
215,2020,estacionarse en lugares prohibidos,25404,4.13
216,2020,otros,150,0.02
217,2020,otros,13,0.0
218,2020,otros,54,0.01
219,2020,otros,38,0.01
220,2020,otros,36,0.01
221,2020,otros,5060,0.82
222,2020,otros,105,0.02
223,2020,otros,92,0.01
224,2020,otros,141,0.02
225,2020,transitar sin casco,178142,28.98
226,2020,otros,3926,0.64
227,2020,via contraria,21901,3.56
228,2020,otros,5336,0.87
229,2020,otros,197,0.03
230,2020,otros,15,0.0
231,2020,otros,214,0.03
232,2020,otros,9,0.0
233,2020,otros,28458,4.63
234,2020,otros,47,0.01
235,2020,otros,78,0.01
236,2020,otros,133,0.02
237,2020,otros,12,0.0
238,2020,otros,11049,1.8
239,2020,otros,2865,0.47
240,2020,otros,4353,0.71
241,2020,otros,1310,0.21
242,2020,otros,37,0.01
243,2021,otros,227,0.01
244,2021,otros,45,0.0
245,2021,otros,712,0.05
246,2021,otros,82,0.01
247,2021,otros,1363,0.09
248,2021,otros,5082,0.33
249,2021,otros,1484,0.1
250,2021,otros,2534,0.17
251,2021,otros,120,0.01
252,2021,otros,1745,0.11
253,2021,otros,331,0.02
254,2021,otros,134,0.01
255,2021,otros,166,0.01
256,2021,otros,4198,0.28
257,2021,otros,9232,0.61
258,2021,violar la luz roja,160381,10.54
259,2021,otros,587,0.04
260,2021,otros,187,0.01
261,2021,otros,1169,0.08
262,2021,otros,2367,0.16
263,2021,otros,232,0.02
264,2021,otros,22907,1.5
265,2021,otros,101,0.01
266,2021,otros,283,0.02
267,2021,otros,3395,0.22
268,2021,otros,368,0.02
269,2021,otros,469,0.03
270,2021,obstruir el transito,45511,2.99
271,2021,otros,447,0.03
272,2021,otros,41,0.0
273,2021,otros,9248,0.61
274,2021,otros,157,0.01
275,2021,otros,43217,2.84
276,2021,otros,1057,0.07
277,2021,otros,223,0.01
278,2021,otros,28808,1.89
279,2021,otros,168,0.01
280,2021,otros,25400,1.67
281,2021,otros,204,0.01
282,2021,otros,1116,0.07
283,2021,otros,373,0.02
284,2021,otros,302,0.02
285,2021,otros,7175,0.47
286,2021,otros,309,0.02
287,2021,otros,114,0.01
288,2021,otros,3127,0.21
289,2021,otros,57,0.0
290,2021,otros,188,0.01
291,2021,otros,41,0.0
292,2021,otros,1892,0.12
293,2021,otros,56,0.0
294,2021,otros,250,0.02
295,2021,otros,200,0.01
296,2021,otros,294,0.02
297,2021,conducir sin licencia y/o vencida,104497,6.86
298,2021,otros,116138,7.63
299,2021,otros,646,0.04
300,2021,otros,9561,0.63
301,2021,hablar por celular,51606,3.39
302,2021,otros,527,0.03
303,2021,otros,43,0.0
304,2021,otros,131,0.01
305,2021,otros,42,0.0
306,2021,otros,3,0.0
307,2021,otros,279,0.02
308,2021,otros,389,0.03
309,2021,transitar sin cinturon,100229,6.58
310,2021,otros,180,0.01
311,2021,otros,17697,1.16
312,2021,otros,19564,1.29
313,2021,otros,373,0.02
314,2021,giro prohibido,41623,2.73
315,2021,otros,377,0.02
316,2021,estacionarse en lugares prohibidos,42059,2.76
317,2021,otros,245,0.02
318,2021,otros,39,0.0
319,2021,otros,21,0.0
320,2021,otros,154,0.01
321,2021,otros,116,0.01
322,2021,otros,14106,0.93
323,2021,otros,500,0.03
324,2021,otros,96,0.01
325,2021,otros,1687,0.11
326,2021,transitar sin casco,395468,25.98
327,2021,otros,19814,1.3
328,2021,via contraria,39215,2.58
329,2021,otros,10188,0.67
330,2021,otros,382,0.03
331,2021,otros,61,0.0
332,2021,otros,212,0.01
333,2021,otros,44,0.0
334,2021,otros,92496,6.08
335,2021,otros,370,0.02
336,2021,otros,98,0.01
337,2021,otros,541,0.04
338,2021,otros,37,0.0
339,2021,otros,32341,2.12
340,2021,otros,7572,0.5
341,2021,otros,6525,0.43
342,2021,otros,3819,0.25
343,2021,otros,214,0.01
344,2022,otros,231,0.01
345,2022,otros,113,0.01
346,2022,otros,444,0.02
347,2022,otros,118,0.01
348,2022,otros,3132,0.15
349,2022,otros,7393,0.36
350,2022,otros,2594,0.13
351,2022,otros,1879,0.09
352,2022,otros,60,0.0
353,2022,otros,2474,0.12
354,2022,otros,801,0.04
355,2022,otros,123,0.01
356,2022,otros,79,0.0
357,2022,otros,4162,0.21
358,2022,otros,16412,0.81
359,2022,violar la luz roja,178461,8.81
360,2022,otros,743,0.04
361,2022,otros,148,0.01
362,2022,otros,1120,0.06
363,2022,otros,2779,0.14
364,2022,otros,647,0.03
365,2022,otros,24931,1.23
366,2022,otros,936,0.05
367,2022,otros,83,0.0
368,2022,otros,6085,0.3
369,2022,otros,205,0.01
370,2022,otros,3513,0.17
371,2022,obstruir el transito,42895,2.12
372,2022,otros,56,0.0
373,2022,otros,118,0.01
374,2022,otros,6599,0.33
375,2022,otros,48,0.0
376,2022,otros,51465,2.54
377,2022,otros,457,0.02
378,2022,otros,163,0.01
379,2022,otros,41373,2.04
380,2022,otros,600,0.03
381,2022,otros,53237,2.63
382,2022,otros,325,0.02
383,2022,otros,1399,0.07
384,2022,otros,225,0.01
385,2022,otros,188,0.01
386,2022,otros,6396,0.32
387,2022,otros,259,0.01
388,2022,otros,46,0.0
389,2022,otros,4072,0.2
390,2022,otros,57,0.0
391,2022,otros,175,0.01
392,2022,otros,67,0.0
393,2022,otros,2435,0.12
394,2022,otros,119,0.01
395,2022,otros,194,0.01
396,2022,otros,316,0.02
397,2022,otros,482,0.02
398,2022,conducir sin licencia y/o vencida,172724,8.52
399,2022,otros,176513,8.71
400,2022,otros,1233,0.06
401,2022,otros,16666,0.82
402,2022,hablar por celular,72092,3.56
403,2022,otros,468,0.02
404,2022,otros,152,0.01
405,2022,otros,151,0.01
406,2022,otros,169,0.01
407,2022,otros,103,0.01
408,2022,otros,273,0.01
409,2022,otros,582,0.03
410,2022,transitar sin cinturon,144291,7.12
411,2022,otros,686,0.03
412,2022,otros,31175,1.54
413,2022,otros,20858,1.03
414,2022,otros,261,0.01
415,2022,giro prohibido,48219,2.38
416,2022,otros,304,0.02
417,2022,estacionarse en lugares prohibidos,45144,2.23
418,2022,otros,253,0.01
419,2022,otros,60,0.0
420,2022,otros,118,0.01
421,2022,otros,247,0.01
422,2022,otros,249,0.01
423,2022,otros,19397,0.96
424,2022,otros,1407,0.07
425,2022,otros,298,0.01
426,2022,otros,1945,0.1
427,2022,transitar sin casco,447986,22.11
428,2022,otros,23030,1.14
429,2022,via contraria,58488,2.89
430,2022,otros,12885,0.64
431,2022,otros,637,0.03
432,2022,otros,222,0.01
433,2022,otros,335,0.02
434,2022,otros,164,0.01
435,2022,otros,170879,8.43
436,2022,otros,59,0.0
437,2022,otros,86,0.0
438,2022,otros,2916,0.14
439,2022,otros,156,0.01
440,2022,otros,59098,2.92
441,2022,otros,8211,0.41
442,2022,otros,6716,0.33
443,2022,otros,2590,0.13
444,2022,otros,2204,0.11
445,2023,otros,36,0.0
446,2023,otros,57,0.0
447,2023,otros,137,0.01
448,2023,otros,36,0.0
449,2023,otros,3826,0.25
450,2023,otros,5220,0.35
451,2023,otros,1414,0.09
452,2023,otros,2958,0.2
453,2023,otros,39,0.0
454,2023,otros,1552,0.1
455,2023,otros,111,0.01
456,2023,otros,29,0.0
457,2023,otros,33,0.0
458,2023,otros,3401,0.23
459,2023,otros,13504,0.9
460,2023,violar la luz roja,147291,9.8
461,2023,otros,209,0.01
462,2023,otros,114,0.01
463,2023,otros,4380,0.29
464,2023,otros,12002,0.8
465,2023,otros,269,0.02
466,2023,otros,9343,0.62
467,2023,otros,842,0.06
468,2023,otros,63,0.0
469,2023,otros,3029,0.2
470,2023,otros,186,0.01
471,2023,otros,4038,0.27
472,2023,obstruir el transito,26522,1.76
473,2023,otros,135,0.01
474,2023,otros,68,0.0
475,2023,otros,1111,0.07
476,2023,otros,141,0.01
477,2023,otros,34396,2.29
478,2023,otros,1361,0.09
479,2023,otros,173,0.01
480,2023,otros,40679,2.71
481,2023,otros,518,0.03
482,2023,otros,29475,1.96
483,2023,otros,243,0.02
484,2023,otros,444,0.03
485,2023,otros,42,0.0
486,2023,otros,82,0.01
487,2023,otros,4557,0.3
488,2023,otros,272,0.02
489,2023,otros,45,0.0
490,2023,otros,2148,0.14
491,2023,otros,111,0.01
492,2023,otros,151,0.01
493,2023,otros,47,0.0
494,2023,otros,1141,0.08
495,2023,otros,53,0.0
496,2023,otros,168,0.01
497,2023,otros,183,0.01
498,2023,otros,199,0.01
499,2023,conducir sin licencia y/o vencida,113053,7.52
500,2023,otros,114846,7.64
501,2023,otros,6095,0.41
502,2023,otros,15121,1.01
503,2023,hablar por celular,41102,2.73
504,2023,otros,525,0.03
505,2023,otros,123,0.01
506,2023,otros,62,0.0
507,2023,otros,29,0.0
508,2023,otros,35,0.0
509,2023,otros,64,0.0
510,2023,otros,72,0.0
511,2023,transitar sin cinturon,89945,5.98
512,2023,otros,530,0.04
513,2023,otros,26043,1.73
514,2023,otros,13362,0.89
515,2023,otros,336,0.02
516,2023,giro prohibido,31565,2.1
517,2023,otros,215,0.01
518,2023,estacionarse en lugares prohibidos,33419,2.22
519,2023,otros,146,0.01
520,2023,otros,21,0.0
521,2023,otros,6,0.0
522,2023,otros,70,0.0
523,2023,otros,94,0.01
524,2023,otros,18289,1.22
525,2023,otros,2406,0.16
526,2023,otros,298,0.02
527,2023,otros,1466,0.1
528,2023,transitar sin casco,370528,24.65
529,2023,otros,11958,0.8
530,2023,via contraria,43754,2.91
531,2023,otros,16265,1.08
532,2023,otros,421,0.03
533,2023,otros,421,0.03
534,2023,otros,244,0.02
535,2023,otros,184,0.01
536,2023,otros,135340,9.0
537,2023,otros,43,0.0
538,2023,otros,103,0.01
539,2023,otros,396,0.03
540,2023,otros,52,0.0
541,2023,otros,45188,3.01
542,2023,otros,3225,0.21
543,2023,otros,5771,0.38
544,2023,otros,906,0.06
545,2023,otros,697,0.05
546,2024,otros,231,0.01
547,2024,otros,12,0.0
548,2024,otros,169,0.01
549,2024,otros,52,0.0
550,2024,otros,5075,0.26
551,2024,otros,5108,0.26
552,2024,otros,5779,0.3
553,2024,otros,1940,0.1
554,2024,otros,70,0.0
555,2024,otros,2358,0.12
556,2024,otros,260,0.01
557,2024,otros,223,0.01
558,2024,otros,26,0.0
559,2024,otros,3513,0.18
560,2024,otros,8270,0.42
561,2024,violar la luz roja,150901,7.75
562,2024,otros,335,0.02
563,2024,otros,17,0.0
564,2024,otros,953,0.05
565,2024,otros,9888,0.51
566,2024,otros,604,0.03
567,2024,otros,4853,0.25
568,2024,otros,533,0.03
569,2024,otros,138,0.01
570,2024,otros,3112,0.16
571,2024,otros,177,0.01
572,2024,otros,2045,0.1
573,2024,obstruir el transito,28572,1.47
574,2024,otros,68,0.0
575,2024,otros,8,0.0
576,2024,otros,1326,0.07
577,2024,otros,23,0.0
578,2024,otros,75380,3.87
579,2024,otros,2040,0.1
580,2024,otros,162,0.01
581,2024,otros,48984,2.51
582,2024,otros,248,0.01
583,2024,otros,28976,1.49
584,2024,otros,86,0.0
585,2024,otros,507,0.03
586,2024,otros,106,0.01
587,2024,otros,32,0.0
588,2024,otros,4891,0.25
589,2024,otros,224,0.01
590,2024,otros,12,0.0
591,2024,otros,1340,0.07
592,2024,otros,71,0.0
593,2024,otros,181,0.01
594,2024,otros,128,0.01
595,2024,otros,2105,0.11
596,2024,otros,137,0.01
597,2024,otros,53,0.0
598,2024,otros,173,0.01
599,2024,otros,147,0.01
600,2024,conducir sin licencia y/o vencida,173281,8.89
601,2024,otros,193737,9.94
602,2024,otros,5478,0.28
603,2024,otros,17871,0.92
604,2024,hablar por celular,42829,2.2
605,2024,otros,6191,0.32
606,2024,otros,5,0.0
607,2024,otros,75,0.0
608,2024,otros,4,0.0
609,2024,otros,0,0.0
610,2024,otros,89,0.0
611,2024,otros,64,0.0
612,2024,transitar sin cinturon,103156,5.29
613,2024,otros,155,0.01
614,2024,otros,36583,1.88
615,2024,otros,9347,0.48
616,2024,otros,270,0.01
617,2024,giro prohibido,34891,1.79
618,2024,otros,283,0.01
619,2024,estacionarse en lugares prohibidos,45133,2.32
620,2024,otros,119,0.01
621,2024,otros,10,0.0
622,2024,otros,14,0.0
623,2024,otros,64,0.0
624,2024,otros,68,0.0
625,2024,otros,22462,1.15
626,2024,otros,6756,0.35
627,2024,otros,389,0.02
628,2024,otros,1112,0.06
629,2024,transitar sin casco,573078,29.42
630,2024,otros,9672,0.5
631,2024,via contraria,50415,2.59
632,2024,otros,22317,1.15
633,2024,otros,370,0.02
634,2024,otros,1461,0.07
635,2024,otros,285,0.01
636,2024,otros,319,0.02
637,2024,otros,65239,3.35
638,2024,otros,260,0.01
639,2024,otros,65,0.0
640,2024,otros,28582,1.47
641,2024,otros,9,0.0
642,2024,otros,74975,3.85
643,2024,otros,4132,0.21
644,2024,otros,8995,0.46
645,2024,otros,2936,0.15
646,2024,otros,2070,0.11
